Sales_Date,Product,Price,Quantity_Sold
20/1/2020,Egg-citing Citrus Soap,1.5,20
20/1/2020,Eggcellent Citrus Splash Soap,1.25,16
20/1/2020,Hot Cross Bun & Honey Almond Soap,2,21
20/1/2020,Spring Meadow Goat Milk Soap,3.75,28
21/1/2020,Chocolate Bunny Exfoliating Scrub,10,16
21/1/2020,Eggcellent Citrus Splash Soap,1.25,6
21/1/2020,Hot Cross Bun & Honey Almond Soap,2,8
21/1/2020,Spring Meadow Goat Milk Soap,3.75,5
21/1/2020,Springtime Blossom Handmade Soap,3,10
22/1/2020,Chocolate Bunny Exfoliating Scrub,10,23
22/1/2020,Hot Cross Bun & Honey Almond Soap,2,8
22/1/2020,Spring Meadow Goat Milk Soap,3.75,13
23/1/2020,Chocolate Bunny Exfoliating Scrub,10,16
23/1/2020,Egg-citing Citrus Soap,1.5,35
23/1/2020,Eggcellent Citrus Splash Soap,1.25,15
23/1/2020,Spring Meadow Goat Milk Soap,3.75,33
23/1/2020,Springtime Blossom Handmade Soap,3,24
24/1/2020,Egg-citing Citrus Soap,1.5,27
24/1/2020,Eggcellent Citrus Splash Soap,1.25,37
24/1/2020,Spring Meadow Goat Milk Soap,3.75,38
24/1/2020,Springtime Blossom Handmade Soap,3,22
25/1/2020,Egg-citing Citrus Soap,1.5,11
25/1/2020,Eggcellent Citrus Splash Soap,1.25,33
25/1/2020,Hot Cross Bun & Honey Almond Soap,2,11
25/1/2020,Springtime Blossom Handmade Soap,3,28
26/1/2020,Chocolate Bunny Exfoliating Scrub,10,33
26/1/2020,Egg-citing Citrus Soap,1.5,28
26/1/2020,Hot Cross Bun & Honey Almond Soap,2,36
26/1/2020,Spring Meadow Goat Milk Soap,3.75,32
26/1/2020,Springtime Blossom Handmade Soap,3,18
27/1/2020,Chocolate Bunny Exfoliating Scrub,10,32
27/1/2020,Egg-citing Citrus Soap,1.5,11
27/1/2020,Eggcellent Citrus Splash Soap,1.25,20
27/1/2020,Hot Cross Bun & Honey Almond Soap,2,36
28/1/2020,Hot Cross Bun & Honey Almond Soap,2,20
28/1/2020,Spring Meadow Goat Milk Soap,3.75,9
28/1/2020,Springtime Blossom Handmade Soap,3,16
29/1/2020,Chocolate Bunny Exfoliating Scrub,10,33
29/1/2020,Spring Meadow Goat Milk Soap,3.75,12
29/1/2020,Springtime Blossom Handmade Soap,3,30
30/1/2020,Chocolate Bunny Exfoliating Scrub,10,5
30/1/2020,Egg-citing Citrus Soap,1.5,7
30/1/2020,Eggcellent Citrus Splash Soap,1.25,30
30/1/2020,Spring Meadow Goat Milk Soap,3.75,11
30/1/2020,Springtime Blossom Handmade Soap,3,26
31/1/2020,Eggcellent Citrus Splash Soap,1.25,9
31/1/2020,Springtime Blossom Handmade Soap,3,7
1/2/2020,Egg-citing Citrus Soap,1.5,14
1/2/2020,Eggcellent Citrus Splash Soap,1.25,21
1/2/2020,Spring Meadow Goat Milk Soap,3.75,6
3/2/2020,Egg-citing Citrus Soap,1.5,3
