Sales_Date,Product,Price,Quantity_Sold
8/1/2024,Blossom Breeze Bath Fizzies,7,25
8/1/2024,Bunny Trail Botanical Soap,5,24
8/1/2024,Chocolate Bunny Bliss Bath Bombs,15,5
8/1/2024,Chocolate Truffle Bunny Scrub Bar,6,24
8/1/2024,Easter Basket Bliss Bubble Bar,8,11
8/1/2024,Hot Cross Bun Soap Bar,5,7
8/1/2024,Spring Garden Petal Soap,3.5,12
8/1/2024,Spring Raindrop Handcrafted Soap,3,5
9/1/2024,Blossom Breeze Bath Fizzies,7,31
9/1/2024,Bunny Trail Botanical Soap,5,3
9/1/2024,Chocolate Bunny Bliss Bath Bombs,15,18
9/1/2024,Chocolate Truffle Bunny Scrub Bar,6,31
9/1/2024,Easter Basket Bliss Bubble Bar,8,29
9/1/2024,Easter Eggstravaganza Cocoa Soap,4.5,23
9/1/2024,Easter Lily Goat Milk Soap,4,9
9/1/2024,Honey Bunny Oaty Soap,3,22
9/1/2024,Hot Cross Bun Soap Bar,5,36
9/1/2024,Lavender Fields Bunny Soap,2.5,34
9/1/2024,Spring Garden Petal Soap,3.5,15
10/1/2024,Blossom Breeze Bath Fizzies,7,38
10/1/2024,Bunny Hop Bubble Bar,4,17
10/1/2024,Bunny Trail Botanical Soap,5,19
10/1/2024,Chocolate Truffle Bunny Scrub Bar,6,23
10/1/2024,Easter Egg Delight Shea Butter Soap,3,5
10/1/2024,Easter Eggstravaganza Cocoa Soap,4.5,27
10/1/2024,Honey Bunny Oaty Soap,3,9
10/1/2024,Lavender Fields Bunny Soap,2.5,29
10/1/2024,Spring Garden Petal Soap,3.5,11
10/1/2024,Spring Raindrop Handcrafted Soap,3,32
11/1/2024,Bunny Trail Botanical Soap,5,14
11/1/2024,Chocolate Truffle Bunny Scrub Bar,6,21
11/1/2024,Easter Eggstravaganza Cocoa Soap,4.5,7
11/1/2024,Easter Lily Goat Milk Soap,4,23
11/1/2024,Honey Bunny Oaty Soap,3,28
11/1/2024,Spring Garden Petal Soap,3.5,16
12/1/2024,Blossom Breeze Bath Fizzies,7,38
12/1/2024,Bunny Trail Botanical Soap,5,24
12/1/2024,Chocolate Bunny Bliss Bath Bombs,15,16
12/1/2024,Chocolate Truffle Bunny Scrub Bar,6,21
12/1/2024,Easter Egg Delight Shea Butter Soap,3,19
12/1/2024,Easter Lily Goat Milk Soap,4,6
12/1/2024,Honey Bunny Oaty Soap,3,19
12/1/2024,Hot Cross Bun Soap Bar,5,11
12/1/2024,Lavender Fields Bunny Soap,2.5,37
12/1/2024,Spring Garden Petal Soap,3.5,9
13/1/2024,Blossom Breeze Bath Fizzies,7,18
13/1/2024,Bunny Hop Bubble Bar,4,29
13/1/2024,Bunny Trail Botanical Soap,5,36
13/1/2024,Chocolate Bunny Bliss Bath Bombs,15,11
13/1/2024,Hot Cross Bun Soap Bar,5,14
13/1/2024,Spring Garden Petal Soap,3.5,30
13/1/2024,Spring Raindrop Handcrafted Soap,3,7
14/1/2024,Bunny Hop Bubble Bar,4,18
14/1/2024,Bunny Trail Botanical Soap,5,29
14/1/2024,Chocolate Bunny Bliss Bath Bombs,15,17
14/1/2024,Easter Eggstravaganza Cocoa Soap,4.5,37
14/1/2024,Easter Lily Goat Milk Soap,4,32
14/1/2024,Honey Bunny Oaty Soap,3,17
14/1/2024,Hot Cross Bun Soap Bar,5,36
14/1/2024,Lavender Fields Bunny Soap,2.5,33
14/1/2024,Spring Garden Petal Soap,3.5,5
14/1/2024,Spring Raindrop Handcrafted Soap,3,10
15/1/2024,Blossom Breeze Bath Fizzies,7,9
15/1/2024,Chocolate Bunny Bliss Bath Bombs,15,17
15/1/2024,Chocolate Truffle Bunny Scrub Bar,6,12
15/1/2024,Easter Egg Delight Shea Butter Soap,3,34
15/1/2024,Hot Cross Bun Soap Bar,5,25
15/1/2024,Lavender Fields Bunny Soap,2.5,24
15/1/2024,Spring Raindrop Handcrafted Soap,3,29
16/1/2024,Blossom Breeze Bath Fizzies,7,23
16/1/2024,Bunny Trail Botanical Soap,5,36
16/1/2024,Chocolate Bunny Bliss Bath Bombs,15,10
16/1/2024,Chocolate Truffle Bunny Scrub Bar,6,20
16/1/2024,Easter Eggstravaganza Cocoa Soap,4.5,11
16/1/2024,Honey Bunny Oaty Soap,3,10
16/1/2024,Hot Cross Bun Soap Bar,5,22
16/1/2024,Lavender Fields Bunny Soap,2.5,29
16/1/2024,Spring Raindrop Handcrafted Soap,3,37
17/1/2024,Blossom Breeze Bath Fizzies,7,16
17/1/2024,Bunny Trail Botanical Soap,5,22
17/1/2024,Chocolate Bunny Bliss Bath Bombs,15,8
17/1/2024,Chocolate Truffle Bunny Scrub Bar,6,21
17/1/2024,Easter Eggstravaganza Cocoa Soap,4.5,37
17/1/2024,Easter Lily Goat Milk Soap,4,19
17/1/2024,Honey Bunny Oaty Soap,3,21
17/1/2024,Hot Cross Bun Soap Bar,5,10
17/1/2024,Lavender Fields Bunny Soap,2.5,10
17/1/2024,Spring Garden Petal Soap,3.5,11
17/1/2024,Spring Raindrop Handcrafted Soap,3,35
18/1/2024,Bunny Hop Bubble Bar,4,13
18/1/2024,Chocolate Bunny Bliss Bath Bombs,15,7
