Sales_Date,Product,Price,Quantity_Sold
24/1/2022,Blossom Breeze Bath Fizzies,7,21
24/1/2022,Bunny Hop Bubble Bar,4,15
24/1/2022,Bunny Kisses Shea Butter Bar,6,38
24/1/2022,Chocolate Bunny Exfoliating Scrub,10,17
24/1/2022,Eggcellent Citrus Splash Soap,1.25,3
24/1/2022,Spring Meadow Goat Milk Soap,3.75,29
24/1/2022,Springtime Blossom Handmade Soap,3,6
24/1/2022,Sunshine Bunny Honey Soap,4,12
25/1/2022,Blossom Breeze Bath Fizzies,7,34
25/1/2022,Chocolate Bunny Exfoliating Scrub,10,14
25/1/2022,Easter Eggstravaganza Soap Set,35,11
25/1/2022,Lavender Fields Bunny Soap,2.5,21
25/1/2022,Springtime Blossom Handmade Soap,3,15
26/1/2022,Blossom Breeze Bath Fizzies,7,18
26/1/2022,Bunny Hop Bubble Bar,4,18
26/1/2022,Bunny Kisses Shea Butter Bar,6,9
26/1/2022,Chocolate Bunny Exfoliating Scrub,10,32
26/1/2022,Eggcellent Citrus Splash Soap,1.25,17
26/1/2022,Springtime Blossom Handmade Soap,3,14
26/1/2022,Sunshine Bunny Honey Soap,4,23
26/1/2022,Tulip Temptation Bath Bomb,7,38
27/1/2022,Blossom Breeze Bath Fizzies,7,16
27/1/2022,Bunny Hop Bubble Bar,4,29
27/1/2022,Chocolate Bunny Exfoliating Scrub,10,17
27/1/2022,Eggcellent Citrus Splash Soap,1.25,36
27/1/2022,Lavender Fields Bunny Soap,2.5,6
27/1/2022,Spring Meadow Goat Milk Soap,3.75,33
27/1/2022,Springtime Blossom Handmade Soap,3,27
28/1/2022,Bunny Kisses Shea Butter Bar,6,9
28/1/2022,Chocolate Bunny Exfoliating Scrub,10,3
28/1/2022,Eggcellent Citrus Splash Soap,1.25,13
28/1/2022,Lavender Fields Bunny Soap,2.5,30
28/1/2022,Springtime Blossom Handmade Soap,3,22
28/1/2022,Tulip Temptation Bath Bomb,7,19
29/1/2022,Bunny Hop Bubble Bar,4,23
29/1/2022,Bunny Kisses Shea Butter Bar,6,26
29/1/2022,Easter Eggstravaganza Soap Set,35,38
29/1/2022,Eggcellent Citrus Splash Soap,1.25,23
29/1/2022,Lavender Fields Bunny Soap,2.5,12
29/1/2022,Spring Meadow Goat Milk Soap,3.75,4
29/1/2022,Tulip Temptation Bath Bomb,7,14
30/1/2022,Bunny Hop Bubble Bar,4,12
30/1/2022,Bunny Kisses Shea Butter Bar,6,27
30/1/2022,Chocolate Bunny Exfoliating Scrub,10,21
30/1/2022,Sunshine Bunny Honey Soap,4,7
30/1/2022,Tulip Temptation Bath Bomb,7,18
31/1/2022,Blossom Breeze Bath Fizzies,7,14
31/1/2022,Bunny Kisses Shea Butter Bar,6,27
31/1/2022,Chocolate Bunny Exfoliating Scrub,10,13
31/1/2022,Eggcellent Citrus Splash Soap,1.25,26
31/1/2022,Springtime Blossom Handmade Soap,3,18
1/2/2022,Blossom Breeze Bath Fizzies,7,4
1/2/2022,Bunny Hop Bubble Bar,4,37
1/2/2022,Bunny Kisses Shea Butter Bar,6,34
1/2/2022,Easter Eggstravaganza Soap Set,35,6
1/2/2022,Eggcellent Citrus Splash Soap,1.25,5
1/2/2022,Spring Meadow Goat Milk Soap,3.75,36
1/2/2022,Springtime Blossom Handmade Soap,3,34
1/2/2022,Sunshine Bunny Honey Soap,4,15
2/2/2022,Bunny Hop Bubble Bar,4,31
2/2/2022,Bunny Kisses Shea Butter Bar,6,3
2/2/2022,Springtime Blossom Handmade Soap,3,22
2/2/2022,Tulip Temptation Bath Bomb,7,16
3/2/2022,Blossom Breeze Bath Fizzies,7,4
3/2/2022,Easter Eggstravaganza Soap Set,35,26
3/2/2022,Eggcellent Citrus Splash Soap,1.25,30
3/2/2022,Springtime Blossom Handmade Soap,3,26
3/2/2022,Sunshine Bunny Honey Soap,4,12
4/2/2022,Bunny Hop Bubble Bar,4,34
4/2/2022,Chocolate Bunny Exfoliating Scrub,10,36
4/2/2022,Spring Meadow Goat Milk Soap,3.75,36
4/2/2022,Springtime Blossom Handmade Soap,3,14
4/2/2022,Sunshine Bunny Honey Soap,4,29
5/2/2022,Blossom Breeze Bath Fizzies,7,5
5/2/2022,Bunny Hop Bubble Bar,4,33
5/2/2022,Easter Eggstravaganza Soap Set,35,37
5/2/2022,Eggcellent Citrus Splash Soap,1.25,7
5/2/2022,Spring Meadow Goat Milk Soap,3.75,17
5/2/2022,Springtime Blossom Handmade Soap,3,25
6/2/2022,Bunny Hop Bubble Bar,4,11
6/2/2022,Eggcellent Citrus Splash Soap,1.25,22
6/2/2022,Spring Meadow Goat Milk Soap,3.75,27
6/2/2022,Sunshine Bunny Honey Soap,4,11
6/2/2022,Tulip Temptation Bath Bomb,7,19
7/2/2022,Bunny Hop Bubble Bar,4,24
7/2/2022,Easter Eggstravaganza Soap Set,35,17
7/2/2022,Eggcellent Citrus Splash Soap,1.25,21
7/2/2022,Tulip Temptation Bath Bomb,7,3
8/2/2022,Bunny Hop Bubble Bar,4,34
8/2/2022,Easter Eggstravaganza Soap Set,35,7
8/2/2022,Tulip Temptation Bath Bomb,7,15
9/2/2022,Easter Eggstravaganza Soap Set,35,31
9/2/2022,Spring Meadow Goat Milk Soap,3.75,34
9/2/2022,Springtime Blossom Handmade Soap,3,37
9/2/2022,Sunshine Bunny Honey Soap,4,6
9/2/2022,Tulip Temptation Bath Bomb,7,5
10/2/2022,Easter Eggstravaganza Soap Set,35,15
10/2/2022,Eggcellent Citrus Splash Soap,1.25,6
10/2/2022,Spring Meadow Goat Milk Soap,3.75,15
10/2/2022,Sunshine Bunny Honey Soap,4,32
11/2/2022,Bunny Hop Bubble Bar,4,26
11/2/2022,Easter Eggstravaganza Soap Set,35,26
11/2/2022,Eggcellent Citrus Splash Soap,1.25,11
11/2/2022,Spring Meadow Goat Milk Soap,3.75,15
12/2/2022,Bunny Hop Bubble Bar,4,37
12/2/2022,Easter Eggstravaganza Soap Set,35,19
12/2/2022,Eggcellent Citrus Splash Soap,1.25,7
12/2/2022,Spring Meadow Goat Milk Soap,3.75,38
12/2/2022,Sunshine Bunny Honey Soap,4,14
12/2/2022,Tulip Temptation Bath Bomb,7,6
13/2/2022,Bunny Hop Bubble Bar,4,38
13/2/2022,Sunshine Bunny Honey Soap,4,29
14/2/2022,Bunny Hop Bubble Bar,4,15
14/2/2022,Easter Eggstravaganza Soap Set,35,13
14/2/2022,Eggcellent Citrus Splash Soap,1.25,30
14/2/2022,Sunshine Bunny Honey Soap,4,3
14/2/2022,Tulip Temptation Bath Bomb,7,24
15/2/2022,Easter Eggstravaganza Soap Set,35,19
15/2/2022,Spring Meadow Goat Milk Soap,3.75,14
15/2/2022,Sunshine Bunny Honey Soap,4,3
15/2/2022,Tulip Temptation Bath Bomb,7,22
16/2/2022,Bunny Hop Bubble Bar,4,9
16/2/2022,Easter Eggstravaganza Soap Set,35,17
16/2/2022,Eggcellent Citrus Splash Soap,1.25,31
16/2/2022,Sunshine Bunny Honey Soap,4,17
17/2/2022,Bunny Hop Bubble Bar,4,7
17/2/2022,Easter Eggstravaganza Soap Set,35,18
17/2/2022,Eggcellent Citrus Splash Soap,1.25,15
17/2/2022,Spring Meadow Goat Milk Soap,3.75,15
17/2/2022,Tulip Temptation Bath Bomb,7,31
18/2/2022,Bunny Hop Bubble Bar,4,36
18/2/2022,Eggcellent Citrus Splash Soap,1.25,38
18/2/2022,Spring Meadow Goat Milk Soap,3.75,36
18/2/2022,Sunshine Bunny Honey Soap,4,20
18/2/2022,Tulip Temptation Bath Bomb,7,33
19/2/2022,Easter Eggstravaganza Soap Set,35,12
19/2/2022,Spring Meadow Goat Milk Soap,3.75,15
19/2/2022,Sunshine Bunny Honey Soap,4,3
19/2/2022,Tulip Temptation Bath Bomb,7,29
20/2/2022,Bunny Hop Bubble Bar,4,38
20/2/2022,Easter Eggstravaganza Soap Set,35,27
20/2/2022,Sunshine Bunny Honey Soap,4,34
21/2/2022,Easter Eggstravaganza Soap Set,35,38
21/2/2022,Tulip Temptation Bath Bomb,7,7
22/2/2022,Bunny Hop Bubble Bar,4,9
22/2/2022,Easter Eggstravaganza Soap Set,35,12
22/2/2022,Spring Meadow Goat Milk Soap,3.75,20
22/2/2022,Tulip Temptation Bath Bomb,7,32
23/2/2022,Bunny Hop Bubble Bar,4,8
23/2/2022,Eggcellent Citrus Splash Soap,1.25,38
23/2/2022,Spring Meadow Goat Milk Soap,3.75,34
23/2/2022,Tulip Temptation Bath Bomb,7,10
24/2/2022,Easter Eggstravaganza Soap Set,35,15
24/2/2022,Spring Meadow Goat Milk Soap,3.75,6
25/2/2022,Eggcellent Citrus Splash Soap,1.25,24
25/2/2022,Tulip Temptation Bath Bomb,7,37
26/2/2022,Bunny Hop Bubble Bar,4,4
26/2/2022,Spring Meadow Goat Milk Soap,3.75,11
26/2/2022,Tulip Temptation Bath Bomb,7,25
27/2/2022,Spring Meadow Goat Milk Soap,3.75,26
28/2/2022,Spring Meadow Goat Milk Soap,3.75,11
28/2/2022,Tulip Temptation Bath Bomb,7,28
1/3/2022,Spring Meadow Goat Milk Soap,3.75,20
2/3/2022,Spring Meadow Goat Milk Soap,3.75,8
2/3/2022,Tulip Temptation Bath Bomb,7,5
4/3/2022,Spring Meadow Goat Milk Soap,3.75,21
5/3/2022,Spring Meadow Goat Milk Soap,3.75,14
5/3/2022,Tulip Temptation Bath Bomb,7,34
6/3/2022,Spring Meadow Goat Milk Soap,3.75,3
6/3/2022,Tulip Temptation Bath Bomb,7,29
7/3/2022,Spring Meadow Goat Milk Soap,3.75,38
7/3/2022,Tulip Temptation Bath Bomb,7,3
8/3/2022,Spring Meadow Goat Milk Soap,3.75,26
8/3/2022,Tulip Temptation Bath Bomb,7,4
9/3/2022,Spring Meadow Goat Milk Soap,3.75,5
10/3/2022,Spring Meadow Goat Milk Soap,3.75,3
10/3/2022,Tulip Temptation Bath Bomb,7,36
11/3/2022,Spring Meadow Goat Milk Soap,3.75,35
12/3/2022,Spring Meadow Goat Milk Soap,3.75,5
12/3/2022,Tulip Temptation Bath Bomb,7,26
13/3/2022,Spring Meadow Goat Milk Soap,3.75,21
13/3/2022,Tulip Temptation Bath Bomb,7,22
